,title,context,label
10,"“วราวุธ” ลุยสุพรรณฯ วอนกาทั้งสองใบ ""เบอร์พรรค-เบอร์คน""","""วราวุธ” ยกขบวนขึ้นรถแห่ชูเบอร์ 18 พรรคชาติไทยพัฒนา ระบุอย่าสับสนบัตร 2 ใบ เข้าคูหา กาทั้งคน-พรรค ด้าน “กัญจนา” อ้อนคนสุพรรณ เลือกเบอร์ 18 เยอะๆ ส่ง “วราวุธ” เข้าสภา เป็นนายกฯคนที่ 2 ของคนสุพรรณฯ",การเมือง
11,"“สมชาย” นำทีม ""เพื่อไทย"" ลงพื้นที่วัดซิกข์-ฮินดู วอนให้มั่นใจนโยบายเศรษฐกิจ","“สมชาย” นำผู้สมัครลงพื้นที่ วัดซิกข์ -วัดฮินดู ขอโอกาสเลือกเพื่อไทย มั่นใจในนโยบายเศรษฐกิจ พวงเพ็ชร เร่งผู้สมัครลงพื้นที่ทำความเข้าใจนโยบายหลังได้เบอร์ ขณะที่ทีมเศรษฐกิจเตรียมส่งหนังสือแจงนโยบาย เติมเงินดิจิทัล 10,000 บาทหลัง กกต.ขอให้ส่งรายละเอียดที่มางบ",การเมือง
12,"""พระเนติวิทย์"" ส่งถ้อยแถลงไม่เกณฑ์ทหาร-ปลายเม.ย.จ่อลาสิกขา","""พระเนติวิทย์” ออกถ้อยแถลงปมไม่ ""เกณฑ์ทหาร"" ผ่านเฟซบุ๊กอาจารย์สุลักษณ์ อ้างติดสอบบาลี เผยสิ้นเดือนเม.ย.นี้ จะลาสิกขามาจัดการธุระทางโลก",การเมือง
13,"ด่วน! หาม ""ชัยเกษม"" ส่ง รพ.พบก้อนเลือดแห้งในสมอง","ด่วน! หาม ""ชัยเกษม"" ส่ง รพ.พบก้อนเลือดแห้งในสมอง แต่อาการไม่รุนแรง ขณะนี้อยู่ในการรักษาของแพทย์แล้ว โดยแนะตรวจอาการซ้ำที่กรุงเทพฯ",การเมือง
14,กกต. จัดกิจกรรมเลือกตั้งเชิงสมานฉันท์ ผู้สมัคร ส.ส. กทม. 33 เขต ร่วมคึก,คณะกรรมการการเลือก ตั้งจัดโครงการปฏิรูปการเมืองสุจริตบนฐานของการเลือกตั้ง โดยให้ความรู้เกี่ยวกับระเบียบกฎหมาย สำหรับผู้สมัคร ส.ส. กทม. 33 เขต,การเมือง
15,พรุ่งนี้วันสุดท้าย ลงทะเบียนใช้สิทธิเลือกตั้งล่วงหน้า,เตือนประชาชน ลงทะเบียนใช้สิทธิ์เลือกตั้งล่วงหน้า-นอกราชอาณาจักร พรุ่งนี้ 9 เม.ย เป็นวันสุดท้าย,การเมือง
16,"""ชูวิทย์"" เดินหน้าต้านกัญชา ยันไม่มีใครอยู่เบื้องหลัง","""ชูวิทย์"" เดินหน้ารณรงค์ต่อต้านกัญชาต่อ หลังศาลแพ่งเพิกถอนคำสั่งคุ้มครองชั่วคราว ยืนยันไม่มีใครอยู่เบื้องหลัง",การเมือง
17,"""จุรินทร์"" ลั่นจุดยืนปชป.ไม่แก้ ม.112 ถ้าเป็นแกนนำนับหนึ่งแก้ศก.","""จุรินทร์"" ปราศรัยใหญ่ครั้งแรกพื้นที่ กทม.ลั่นหนุนแก้รัฐธรรมนูญ แต่จุดยืนไม่ยกเลิกมาตรา 112 พร้อมขอเป็นพรรคการเมืองของคนทุกรุ่น ชี้พรรคก่อตั้งก้าวสู่ปีที่ 78 หากเป็นแกนนำตั้งรัฐบาลนับหนึ่งแก้เศรษฐกิจ",การเมือง
18,"""ลุงตู่"" ย้ำอย่าฝากบ้านเมืองไว้กับคนไร้ประสบการณ์","""พล.อ.ประยุทธ์"" ปราศรัยเวทีสวนเบญจกิติ บอกใครจะทำอะไรพร้อมยอมรับ ไม่เคยรังเกียจ รับ รทสช.มีทั้งคนรักและคนเกลียด แต่ยังมีคนไม่ตัดสินใจเลือกใคร ต้องหาทางดึงคะแนนเสียงจากคนกลุ่มนี้",การเมือง
19,กกต.ชี้นโยบายแจกเงินหมื่น พท. ทำได้ไม่ผิดกฎหมาย,เลขาธิการ กกต. ชี้นโยบายแจกเงินหมื่น พท. ทำได้ไม่ผิดกฎหมาย ไม่เข้าข่ายสัญญาว่าจะให้,การเมือง
20,"ศาลเพิกถอนคำสั่งคุ้มครองชั่วคราว ภท. ""ชูวิทย์"" พูดเรื่องกัญชาได้",ศาลแพ่ง เพิกถอนคำสั่งคุ้มครองชั่วคราวของพรรคภูมิใจไทยที่ร้องขอให้ศาลสั่งห้ามชูวิทย์ พูดเรื่องนโยบายกัญชาที่กระทบพรรคภูมิใจไทย โดยศาลเห็นว่าเป็นการแสดงความเห็นทั่วไป กล่าวถึงประโยชน์และโทษของกัญชา,การเมือง
21,"กกต.สรุปยอดสมัคร ส.ส.แบ่งเขต 70 พรรค 4,781 คน ปาร์ตี้ลิสต์ 1,899 คน","กกต.สรุปภาพรวมรับสมัคร ส.ส.แบ่งเขต 70 พรรค 4,781 คน และปาร์ตี้ลิสต์ 67 พรรค 1,899 คน ส่วนผู้ถูกเสนอชื่อเป็นนายกรัฐมนตรี 43 พรรค 63 คน",การเมือง
22,"""อนุทิน"" หาเสียง จ.นครสวรรค์ ประกาศมุ่งทำงาน-ไม่สร้างความขัดแย้ง","""อนุทิน"" ลงพื้นที่หาเสียง จ.นครสวรรค์ ประกาศมุ่งทำงาน ไม่สร้างความขัดแย้ง ชูสารพัดนโยบาย ย้ำ พูดแล้วทำ หากได้ ส.ส.มากพอ พร้อมเป็นแกนนำตั้งรัฐบาล",การเมือง
23,"""เพื่อไทย"" มั่นใจเงินดิจิทัล 1 หมื่นช่วย ปชช.-ฟื้นเศรษฐกิจ","พท.มั่นใจ ""ดิจิทัล วอลเล็ต"" 10,000 บาท ทำเศรษฐกิจฟื้นตัว คาดใช้งบจัดเก็บรายได้ 2.6 แสนล้านบาท ใจป๋าเปิด 2 บัญชีออมทรัพย์-ดิจิทัลฯ ให้คนอายุ 16 ปีขึ้นไปมีเงินใช้จ่าย",การเมือง
24,"เพื่อไทย ส่ง ""ภูดิศ"" แทน ""จำลอง ขำสา"" ชิงชัย ส.ส.นนทบุรี","""ภูดิศ นนทพิมลชัย"" สมัคร ส.ส. นนทบุรี เขต 7 พรรคเพื่อไทย แทน ""จำลอง ขำสา"" มั่นใจ ""นนทบุรี"" กวาดเรียบ",การเมือง
25,"ครั้งแรก! 3 พรรคใหญ่ ""ปชป.-รทสช.-พปชร."" ปราศรัยใหญ่กทม.","ครั้งแรก! 3 พรรคใหญ่ จัดปราศรัยในกทม. ทั้งปชป.-รทสช.-พปชร.หลังเปิดตัวแคนดิเดตนายกรัฐมนตรีของพรรค และสมัครส.ส.ลงสู้ศึก 33 เขตเลือกตั้งกทม.จับตา ""ชวน"" ขึ้นเวทีลานคนเมืองครั้งแรกหลังยุบสภา",การเมือง
26,"""เจ๋ง ดอกจิก"" บุกช่วยแม่เลี้ยงติ๊ก ขึ้นเวทีปราศรัยแพร่ ดันหลานสาวอดีตแอร์เลือดใหม่การเมือง","""เจ๋ง ดอกจิก"" ช่วยผู้สมัคร ส.ส.แพร่ พรรครวมไทยสร้างชาติ ""แม่เลี้ยงติ๊ก"" นำ 3 ผู้สมัครเปิดตัวมีหลานสาวอดีตแอร์โฮสเตสสายการบินดังสมัครด้วย",การเมือง
27,“วรัญชัย” ไม่ใช่ตัวตลกการเมือง,พรรคเพื่อชาติจุดยืนชัดส่ง “วรัญชัย” ลงสู้ศึกเลือกตั้งเขต กทม. ไม่สนข้อครหา “หิวแสงประชาธิปไตย”,การเมือง
28,"""ธรรมรักษ์"" ช่วย ผู้สมัคร ส.ส.ชัยภูมิ หาเสียง เน้นให้ ปชช.เข้าถึงนโยบาย","""พล.อ.ธรรมรักษ์"" ลงพื้นที่ จ.ชัยภูมิ ช่วยหาเสียงให้ ผู้สมัคร พปชร. ขอผู้สมัคร เร่งประชาสัมพันธ์หมายเลขให้ ประชาชนเข้าถึงนโยบายพรรค",การเมือง
29,"""บทบาทต้องชัด"" นาดา-สมภ. ถกปัญหาแรงงานข้ามชาติและผู้ลี้ภัย เร่งแก้ปัญหายั่งยืน","""นาดา ไชยจิตต์"" หัวหอกด้านสิทธิมนุษยชนลุยเวทีถกปัญหาแรงงานข้ามชาติและผู้ลี้ภัย ""พรรคเสมอภาค"" เสนอ 3 จิ๊กซอว์สำคัญแก้ไขปัญหาแบบยั่งยืน",การเมือง
30,"วันสุดท้าย ไร้ผู้สมัคร ส.ส.""อุบลฯ - สงขลา""",วันสุดท้ายเปิดรับสมัครรับเลือกตั้ง ส.ส.เงียบเหงา จ.อุบลราชธานี ไร้เงาผู้สมัคร ขณะที่ สงขลา ก็เงียบเหงาไม่แพ้กัน ขณะที่ กกต.เตรียมตรวจสอบคุณสมบัติ ก่อนจะประกาศรายชื่อผู้สมัครทั้งหมดต่อไป,การเมือง
31,"""นรุตม์ชัย"" ขายรอยสักเรียกคะแนน มั่นใจรับใช้ประชาชนได้","""นรุตม์ชัย"" ขายรอยสักเรียกคะแนน โชว์เป็นผู้สมัคร ส.ส.คนเดียวที่มีรอยสักเยอะ เผยโดนดูถูกว่าเกเร แต่พิสูจน์แล้วว่าเรียนจบและทำงานรับใช้ประชาชนได้",การเมือง
32,"""ช่อ"" ช่วยผู้สมัคร ส.ส.ชัยนาท ""ก้าวไกล"" หาเสียง ชูนโยบายยกเลิกเกณฑ์ทหาร","""ช่อ พรรณิการ์"" ผู้ช่วยหาเสียงพรรคก้าวไกล ลงพื้นที่หาเสียงช่วยผู้สมัคร ส.ส.พรรคก้าวไกล จ.ชัยนาท หน้าหน่วยเกณฑ์ทหาร ชูนโยบายปฏิรูปกองทัพ ลดนายพลเหลือ 400 นาย ลดกำลังพลลง 30-40% เลิกเกณฑ์ทหาร เปลี่ยนงบซื้ออาวุธเป็นสวัสดิการประชาชน",การเมือง
33,10 ข้อห้ามหาเสียงเลือกตั้ง ฝ่าฝืนเจอโทษหนักเพิกถอนสิทธิ-ยุบพรรค,สำนักงานคณะกรรมการการเลือกตั้ง เน้นย้ำข้อห้ามในการหาเสียงเลือกตั้ง ส.ส. หากฝ่าฝืนอาจได้รับโทษปรับหรือจำคุก เพิกถอนสิทธิเลือกตั้ง ตลอดทั้งการยุบพรรคการเมือง,การเมือง
34,"""อรรถวิชช์"" ชี้ บรรทัดฐานใหม่ ศาลยกฟ้องเรื่องแบ่งเขต หวั่น ปชช.สับสน","""อรรถวิชช์"" ชี้ บรรทัดฐานใหม่ ศาลยกฟ้องเรื่องแบ่งเขต หวั่นประชาชนสับสน ส.ส.ทำงานยากขึ้น ลดความผูกพันพื้นที่",การเมือง
35,"""อัจฉริยะ"" ยื่นสอบ ""พล.ต.ต.เอกรักษ์"" อ้างรับสินบนเว็บพนัน","""อัจฉริยะ"" เดินหน้าเอาผิด พล.ต.ต.เอกรักษ์ ลิ้มสังกาศ รองเลขาธิการป.ป.ง.ล่าสุดนำหลักฐานเข้าแจ้งความดำเนินคดี โดยอ้างว่า พล.ต.ต.เอกรักษ์ มีการเรียกรับสินบนจากเจ้าของเว็บพนันเว็บคิงพิน 88 กว่า 500,000 บาท",การเมือง
36,ศาลปกครองสูงสุด ยกฟ้องคดีแบ่งเขตเลือกตั้ง กทม.-สกลนคร-สุโขทัย,ศาลปกครองสูงสุด ยกฟ้องคดีแบ่งเขตเลือกตั้ง กทม.-สกลนคร-สุโขทัย ชี้ กกต.ปฏิบัติตามกฎหมายจำนวนราษฎรในแต่ละเขตเลือกไม่แตกต่างกันเกินร้อยละ 10 ต่อ ส.ส. 1 คน,การเมือง
37,"""ธนกร"" จี้ กกต.ตรวจสอบนโยบาย พท.เติมเงิน 1 หมื่น ชี้ชูตัวเลขดึงคะแนน","""ธนกร"" ตั้งข้อสังเกตนโยบายเติมเงิน 10,000 บาทในกระเป๋าเงินดิจิทัลของพรรคเพื่อไทย เป็นเงินที่ได้มาอย่างไร ชี้ชูตัวเลขหวือหวาหวังเรียกคะแนน แต่ไม่คำนึงถึงความเสียหายต่อประเทศ พร้อมจี้ กกต.ตรวจสอบ",การเมือง
38,"""ชูวิทย์"" ยื่นเพิกถอนคำสั่งห้ามต้านกัญชา ภท. - ฟ้อง ""ทนายตั้ม"" 100 ล้าน","""ชูวิทย์"" ยื่นคำร้องศาลแพ่ง ขอเพิกถอนคำสั่ง คุ้มครองชั่วคราวกรณี พรรคภูมิใจไทยร้องห้ามวิจารณ์นโยบายกัญชา ขณะที่ยื่นฟ้อง ""ทนายตั้ม"" ข้อหาหมิ่นประมาท พร้อมเรียก 100 ล้าน กล่าวหารับเงินจากเว็บพนันออนไลน์-สารวัตรซัว",การเมือง
39,"""ประเดิมครั้งแรก"" ชวน หลีกภัย ปราศรัยใหญ่หลังยุบสภาฯ","""ชวน"" พร้อม ""จุรินทร์"" นำทัพ ปชป.ขึ้นเวทีใหญ่ปราศรัยลานคนเมืองเย็นนี้ ตั้งเป้าลุยเดินหน้าหาเสียงทั่วประเทศจนถึงก่อนวันเลือกตั้ง ขอ ปชช.เลือกคนดี ไม่ทุจริตบ้านเมืองเข้าสภา",การเมือง
40,"""สาวิทย์ แก้วหวาน"" ลงสมัคร ส.ส.ปาร์ตี้ลิสต์ ชูนโยบายค่าแรง 712 บ./วัน","""สาวิทย์ แก้วหวาน"" อดีตแกนนำ พธม.รุ่น 2 ลงสมัคร ส.ส.ปาร์ตี้ลิสต์ พรรคสังคมประชาธิปไตย ได้เบอร์ 58 ชูนโยบายค่าแรง 712 บ./วัน นำ ปตท.กลับคืนมาเป็นของรัฐ ลดราคาน้ำมันลิตรละ 10 บ.",การเมือง
41,"""ประเสริฐ"" อ้างมีซื้อขายบัตร ปชช. ภาคอีสาน ลงทะเบียนเลือกตั้งล่วงหน้า","""ประเสริฐ"" อ้าง มีซื้อขายบัตรประชาชน ที่ จ.อำนาจเจริญ อุบลราชธานี ลงทะเบียนเลือกตั้งล่วงหน้า เตรียมยื่น กกต. ตรวจสอบ ชี้ธนกิจการเมืองเกิดขึ้นแล้ว",การเมือง
42,"""ชัชชาติ"" ขู่เก็บป้ายหาเสียงกีดขวาง-ปิดทางเข้าออก",ผู้ว่าฯ กทม. เตือนพรรคการเมือง ระวังการวางป้ายหาเสียงอย่ากีดขวาง หลังชาวบ้านเริ่มร้องเรียน พร้อมเปิดพื้นที่กว่า 20 แห่งให้พรรคการเมืองใช้จัดปราศรัยหาเสียง วันนี้ปชป.-พปชร-รทสช.ปราศรัยใหญ่,การเมือง
43,"ติง ""เพื่อไทย"" แจกเงินดิจิทัล 1 หมื่นบาทหาเสียงประชานิยม","เสียงสะท้อนกรณี ""เศรษฐา ทวีสิน"" แคนดิเดตนายกรัฐมนตรีของพรรคเพื่อไทย ประกาศนโยบายแจกเงินดิจิทัล 10,000 บาทให้กับผู้มีอายุ 16 ปีขึ้น นักการเมืองดาหน้าระบุมุกเดิม ประชาชนไม่ใช่ยาจก นักวิชาการชี้แค่หาเสียง เสี่ยงภาระงบ",การเมือง
44,"""ชัยวุฒิ"" มั่นใจเสียงตอบรับชาวลพบุรีดีมาก คาด ""พปชร."" ชนะยกจังหวัด","""ชัยวุฒิ"" มั่นใจ พปชร. ลพบุรี เสียงดี โดยเฉพาะนโยบาย 700 บ.ชาวลพบุรี ชื่นชอบอย่างมาก ระบุ ชอบ"" พล.อ.ประวิตร"" เพราะพูดจริง ทำจริง",การเมือง
45,"""ชูวิทย์"" จ่อยื่นอุทธรณ์คำสั่งห้ามพูดถึงนโยบายกัญชา","""ชูวิทย์"" เตรียมยื่นอุทธรณ์คำสั่งห้ามวิจารณ์นโยบายกัญชาของพรรคภูมิใจไทย ในวันพรุ่งนี้ (7 เม.ย.) ยืนยันเดินหน้าคัดค้านกัญชาเสรี",การเมือง
46,"ผู้สมัคร ส.ส.ภูเก็ต ""ก้าวไกล"" หนุนศิลปะใช้โปสเตอร์วาดมือติดรถแห่หาเสียง","""ฐิติกันต์"" ผู้สมัครส.ส.ก้าวไกล จ.ภูเก็ต ใช้โปสเตอร์วาดมือติดรถแห่หาเสียง เผยได้ไอเดียจากรถแห่หนัง เรียกเสียงตอบรับประชาชน ย้ำนโยบายก้าวไกลมุ่งส่งเสริมคนทำงานศิลปะ",การเมือง
47,"""จำลอง ขำสา"" ผู้สมัคร ส.ส.เขต 7 นนทบุรี ขาดคุณสมบัติ","พรรคเพื่อไทย เตรียมส่งผู้สมัคร ส.ส.คนใหม่ พื้นที่เขต 7 นนทบุรี แทน ""จำลอง ขำสา"" ที่ขาดคุณสมบัติ พบไม่ได้ใช้สิทธิเลือกตั้งซ่อม ส.ท.",การเมือง
48,"""ภูมิใจไทย"" ทำบุญพรรคก้าวสู่ปีที่ 15 ""ชัยวุฒิ-สันติ"" หอบกระเช้าร่วมยินดี","พรรคภูมิใจไทย ทำบุญพรรคก้าวเข้าสู่ปีที่ 15 โดยเปิดตัวผู้สมัคร ส.ส.แบบแบ่งเขต พร้อมปล่อยเพลง ""อนุทินเป็นนายกฯ """,การเมือง
49,"""จุรินทร์"" วอน ""ชาวประชาธิปัตย์"" กลับมาหนุน","""จุรินทร์"" วิงวอน ""ชาวประชาธิปัตย์"" กลับมาสนับสนุน ""ประชาธิปัตย์ เบอร์ 26"" ขอให้มั่นใจความเป็นสถาบันการเมือง",การเมือง
50,"""เพื่อไทย"" ปราศรัยใหญ่ ชู 11 นโยบาย เดินหน้าแลนด์สไลด์","""เพื่อไทย"" ปราศรัยใหญ่ พร้อมเปิดตัว 3 แคนดิเดตนายกฯ ทั้ง 3 คน ตือ ""แพทองธาร-เศรษฐา-ชัยเกษม"" ประกาศ 11 นโยบาย ลดภาระค่าครองชีพ สร้างรายได้ และยกระดับคุณภาพชีวิต เดินหน้าแลนด์สไลด์",การเมือง
51,"""ชูวิทย์"" ชี้ถูกปิดปาก หลังภูมิใจไทยร้องศาลห้ามพูดเรื่องกัญชา","""ชูวิทย์"" ชี้ถูกปิดปากกรณีพรรคภูมิใจไทยร้องศาลสั่งห้ามพูดพาดพิงเรื่องกัญชา ระบุเป็นสิทธิอันชอบธรรมของประชาชนในการต่อต้านกัญชาที่ไร้กฎเกณฑ์ควบคุม",การเมือง
52,"ศาลสั่ง ""ชูวิทย์"" ห้ามรณรงค์-พาดพิง ""ภูมิใจไทย"" ปมกัญชา","""ศุภชัย"" เผยศาลสั่งห้าม ""ชูวิทย์"" รณรงค์ หรือกล่าวพาดพิงพรรคภูมิใจไทยเรื่องกัญชา จนกว่าจะมีคําสั่งเป็นอย่างอื่น",การเมือง
53,"ไม่พลิกโผ เพื่อไทยยื่น ""แพทองธาร-เศรษฐา-ชัยเกษม"" แคนดิเดตนายกฯ","ไม่พลิกโผ พรรคเพื่อไทยเข้ายื่นบัญชีแคนดิเดตนายกรัฐมนตรีของพรรค ""แพทองธาร-เศรษฐา-ชัยเกษม""",การเมือง
54,"""ไทยสร้างไทย"" เปิดรายชื่อ ผู้สมัคร ส.ส.กรุงเทพฯ 33 เขต","""ไทยสร้างไทย"" เปิดรายชื่อ ผู้สมัคร ส.ส.กรุงเทพฯ ทั้ง 33 เขต พร้อมหมายเลข ""เก่ง การุณ"" ลงเขต 10 พร้อมผู้สมัครหน้าใหม่",การเมือง
55,"กางรายชื่อผู้สมัคร ส.ส.กทม.""พลังประชารัฐ"" ทั้ง 33 เขต","กางรายชื่อ ผู้สมัคร ส.ส.พรรคพลังประชารัฐ กทม.ทั้ง 33 เขต พร้อมหมายเลข ""ฟิล์ม รัฐภูมิ"" ลงเขต 22 ประเวศ ด้าน ""น.ต.นิธิ"" ลูกชาย ""พล.อ.สนธิ"" ลงเขต 31",การเมือง
56,"""ก้าวไกล"" เปิดรายชื่อ 33 ผู้สมัคร ส.ส.กรุงเทพฯ","เผย รายชื่อ 33 ผู้สมัคร ส.ส.กรุงเทพฯ พรรคก้าวไกล ""โตโต้ ปิยรัฐ"" ลงเขต 23 ""พระโขนง-บางนา"" ด้าน ""เท่าพิภพ"" ลงเขต 24 ""ธนบุรี-คลองสาน-ราษฎรบูรณะ"" ""ณัฐชา"" ลงเขต 11 ""บางบอน -บางขุนเทียน""",การเมือง
57,เปิดรายชื่อผู้สมัคร ส.ส.กรุงเทพฯ 33 เขต พรรครวมไทยสร้างชาติ,พรรครวมไทยสร้างชาติ ส่งว่าที่ผู้สมัคร ลงชิงชัย ส.ส.กรุงเทพฯ ครบทั้ง 33 เขต,การเมือง
58,เปิดรายชื่อผู้สมัคร ส.ส. กรุงเทพฯ พรรคเพื่อไทย ทั้ง 33 เขต,"เปิดรายชื่อ ผู้สมัคร ส.ส.กรุงเทพฯ 33 เขต พรรคเพื่อไทย อดีต ""ส.ส.-ดารา"" เพียบ",การเมือง
59,"""สันติ"" เมิน ซินแสทัก 37 ไม่ดี ลั่นมงคล เลขนี้ฟ้าสั่ง","""สันติ"" เมิน ซินแสทัก 37 เลขไม่ดี ลั่น มงคล บอกเลขนี้ฟ้าสั่ง จับ 2 รอบได้ตัวเดิม เชื่อถ้า ""พล.อ.ประวิตร"" นั่งนายกฯ แล้วทำตามนโยบาย เผลอๆ ได้เป็นถึง 2 สมัย",การเมือง
60,บทวิเคราะห์ : ปาร์ตี้ลิสต์ รทสช.-พปชร.,รวมไทยสร้างชาติ (รทสช.) แม้จะเป็นพรรคที่แตกตัวออกมาจากพลังประชารัฐ และถือเป็นคู่แข่งในทีในสนามเลือกตั้ง แต่มีทั้งความเหมือนและความแตกต่างที่น่าสนใจ เมื่อดูจากรายชื่อ ส.ส.ระบบบัญชีรายชื่อ หรือปาร์ตี้ลิสต์,การเมือง
61,กกต.ยันรถแห่หาเสียง-ร้องเพลงพรรคได้ แต่ห้ามแสดงรื่นเริงบนรถ,เลขาธิการ กกต. ยันผู้ช่วยหาเสียงทำได้ทุกอย่างเหมือนผู้สมัคร เตือนอย่าทำผิดกฎหมาย ย้ำใช้รถแห่หาเสียง ร้องเพลงพรรคได้ แต่ห้ามการแสดงรื่นเริงบนรถ หากพบมีการร้องเรียนจะพิจารณาเป็นรายกรณี,การเมือง
62,"""เฉลิมชัย-องอาจ"" มอบ ธงชัยประชาธิปัตย์ ให้ผู้สมัคร 33 เขต นำชัยชนะทั่ว กทม.","""เฉลิมชัย-องอาจ"" มอบ ธงชัยประชาธิปัตย์ ให้ผู้สมัคร 33 เขต นำชัยชนะทั่ว กทม. ""องอาจ"" ระบุ ""จุรินทร์"" พร้อมเป็นนายกฯ หากพี่น้องประชาชนให้โอกาสเลือกพรรคประชาธิปัตย์หมายเลข 26",การเมือง
